,aid,Authors,Title,Pub_year,Concept_mod,Graphical,Robust,Response
759,815,"Appiah-Opuku, S.",Using protected areas as a tool for biodiversity conservation and ecotourism: A case study of Kakum National Park in Ghana,2011,0,0,0,None
760,816,"Ashrafzadeh, M.R.; Batvandi,Z.; Karimi,H , Soroushnia,R",Importance of Ghale Shadab Prohibited Hunting Area in Khuzestan Province from stakeholders point-of-view,2011,0,0,0,None
761,817,"Asquith, N.M.; Vargas RՎos, M.T.; Smith, J.","Can forest-protection carbon projects improve rural livelihoods? Analysis of the Noel Kempff Mercado Climate Action Project, Bolivia",2002,0,0,0,None
16,16,"Aswani, S.; Furusawa, T.","Do Marine Protected Areas Affect Human Nutrition and Health? A Comparison between Villages in Roviana, Solomon Islands",2007,0,0,0,None
17,17,"Aswani, S.; Weiant, P.",Scientific Evaluation in Women's Participatory Management: Monitoring Marine Invertebrate Refugia in the Solomon Islands,2004,0,0,0,None
763,819,"Averbeck, C.",Population Ecology of Impala (Aepyceros melampus) and Community-based Wildlife Conservation in Uganda,2009,0,0,0,None
764,820,"Awono, A.; Somorin, O. A.; Eba'a Atyi, R.; Levang, P.",Tenure and participation in local REDD+ projects: Insights from southern Cameroon,2014,0,0,0,None
765,821,"Aymoz, B. G. P.; Randrianjafy, V. R.; Randrianjafy, Z. J. N.; Khasa, D. P.","Community management of natural resources: A case study from Ankarafantsika National Park, Madagascar",2013,0,0,0,None
767,823,"Bacon, C.M, Mendez, V.E.; Flores Gomez, M.E.; Stuart, D. and DՎaz Flores, S. R.",Are sustainable coffee certifications enough to secure farmer livelihoods? The millenium development goals and Nicaragua's Fair Trade cooperatives,2008,0,0,0,None
766,822,"Bacon, C.M.","A spot of coffee in crisis Nicaraguan smallholder cooperatives, fair trade networks, and gendered empowerment",2010,0,0,0,None
768,824,"Badola, R.",Attitudes of local people towards conservation and alternatives to forest resources: A case study from the lower Himalayas,1998,0,0,0,None
769,825,"Badola, R.; Hussain, S. A.",Conflict in paradise: Women and protected areas in the Indian Himalayas,2003,0,0,0,None
19,19,"Baez, S.","Notes: The ""right"" redd framework: National laws that best protect indigenous rights in a global redd regime",2011,0,0,0,None
1029,1097,Baird,Conservation and unscripted development: Proximity to park associated with development and financial diversity,2014,0,0,0,None
770,826,"Baird, I. G.; Dearden, P.",Biodiversity Conservation and Resource Tenure Regimes: A Case Study from Northeast Cambodia,2003,0,0,0,None
772,828,"Bajracharya, S.B.;, Furley, P.A.; and Newton, A.C.","Impacts of community-based conservation on local communities in the Annapurna Conservation Area, Nepal.",2006,0,0,0,None
774,830,"Baker, J.; Milner-Gulland, E.J.; and Leader-Williams, N.","Park Gazettement and Integrated Conservation and Development as Factors in Community Conflict at Bwindi Impenetrable Forest, Uganda",2012,0,0,0,None
773,829,"Baker, J.M.","The effect of community structure on social forestry outcomes: insights from Chota Nagpur, India.",1998,0,0,0,None
1030,1098,Baland et al.,The environmental impact of poverty: evidence from firewood collection in rural Nepal,2010,0,0,0,None
20,20,"Balciauskas, L.; Kazlauskas, M.",Forty years after reintroduction in a suboptimal landscape: public attitudes towards European bison,2013,0,0,0,None
1031,1099,Bandyopadhyay et al,Do Households Gain from Community-based Natural Resource Management? An Evaluation of Community Conservancies in Namibia,2004,0,0,0,None
775,831,"Bandyopadhyaya, S. ; Humavindu, M.; Shyamsundar, P.;  and Wang, L..",Benefits to local communities from community conservancies in Namibia: an assessment.,2009,0,0,0,None
21,21,"Baral, N.; Heinen, J. T.","Resources use, conservation attitudes, management intervention and park-people relations in the Western Terai landscape of Nepal",2007,0,0,0,None
776,832,"Baral, N.; Heinen, J.T.",Decentralization and peopleՎs participation in conservation: a comparative study from the Western Terai of Nepal.,2009,0,0,0,None
23,23,"Baral, N.; Stern, M. J.","Capital Stocks and Organizational Resilience in the Annapurna Conservation Area, Nepal",2011,0,0,0,None
24,24,"Barham, B. L.; Coomes, O. T.; Takasaki, Y.","Rain forest livelihoods: income generation, household wealth and forest use",1999,0,0,0,None
25,25,"Barker, A.",Improving Local Capacity in Coastal Management:Experiences and Lessons from the Developing World,2005,0,0,0,None
26,26,"Barley Kincaid, K., Rose, G. and Mahudi, H.","Fisher's perception of a multiple-use marine protected area: Why communities and gear users differ at Mafia Island, Tanzania",2014,0,0,0,None
27,27,"Bartlett, C. Y.; Pakoa, K.; Manua, C.",Marine reserve phenomenon in the Pacific Islands,2009,0,0,0,None
28,28,"Baticados, D. B.; Agbayani, R. F.","Co-management in marine fisheries in Malalison Island, central Philippines",2000,0,0,0,None
779,835,"Bauch, S.C.; Birkenbach, A.M.; Pattanayak, S.K.; Sills, E.O.",Public health impacts of ecosystem change in the Brazilian Amazon,205,0,0,0,None
29,29,"Bauer, H.","Local perceptions of Waza National Park, northern Cameroon",2003,0,0,0,None
30,30,"Bawa, K. S.; Joseph, G.; Setty, S.","Poverty, biodiversity and institutions in forest-agriculture ecotones in the Western Ghats and Eastern Himalaya ranges of India",2007,0,0,0,None
780,836,"Beauchamp, E. and Ingram, V.",Impacts of Community Forests on Livelihoods in Cameroon: Lessons from Two Case Studies.,2011,0,0,0,None
32,33,"Becker, C. D.; Ghimire, K.",Synergy between traditional ecological knowledge and conservation science supports forest preservation in Ecuador,2003,0,0,0,None
782,838,"Bedunah, DJ and Schmidt, SM",Pastoralism and protected area management in Mongolia's Gobi Gurvansaikhan National Park,2004,0,0,0,None
783,839,"Beh, A.","Do you see what I see? Photovoice, community-based research, and conservation education in Samburu, Kenya",2011,0,0,0,None
33,34,"Behera, B.",Explaining the performance of state-community joint forest management in India,2009,0,0,0,None
34,35,"Beitl, C. M.","Shifting policies, access, and the tragedy of enclosures in Ecuadorian mangrove fisheries: towards a political ecology of the commons",2012,0,0,0,None
35,36,"Belova, S. U.",Protected areas and benefits: Russian experience,2007,0,0,0,None
36,37,"Benjamin, A. E.",Women in community forestry organizations: An empirical study in Thailand,2010,0,0,0,None
37,38,"Benjaminsen, T. A.; Kepe, T.; BrՎ_then, S.","Between global interests and local needs: Conservation and land reform in Namaqualand, South Africa",2008,0,0,0,None
785,841,"Bhandari, A.R.; Uibrig, H.",Who is benefiting more from common property forest resources: poor or less poor?,2008,0,0,0,None
39,40,"Bhattacharjee, A.; Parthasarathy, N.","Coexisting With Large Carnivores: A Case Study From Western Duars, India",2013,0,0,0,None
40,41,"Bhattacharya, P.; Hayat, S. F.","Sustainable NTFP Management for Rural Development: A Case for Madhya Pradesh, India",2004,0,0,0,None
41,42,"Bhattacharya, P.; Pradhan, L.; Yadav, G.",Joint forest management in India: experiences of two decades,2010,0,0,0,None
786,842,"Biedenweg, K. and Monroe, M.",Teasing Apart the Details: How Social Learning can Affect Collective Action in the Bolivian Amazon,2013,0,0,0,None
42,43,"Biggs, D.; Turpieb, J.; Fabriciusc, C.; Spenceleyd, A.",The Value of Avitourism for Conservation and Job Creation: An Analysis from South Africa,2011,0,0,0,None
43,44,"Bikangaga, S.; Picchi, M. P.; Focardi, S.; Rossi, C.",Perceived benefits of littoral wetlands in Uganda: a focus on the Nabugabo wetlands,2007,0,0,0,None
787,843,"Birdlife International,","Empowering the Grassroots - BirdLife, Participation and Local Communities",2011,0,0,0,None
44,45,"Bista, S.; Webb, E. L.",Collection and marketing of non-timber forest products in the far western hills of Nepal,2006,0,0,0,None
45,46,"Bizikova, L.; Nijnik, M.; Kluvankova-Oravska, T.",Sustaining Multifunctional Foresstry Through the Developing of Social Capital and Promoting Participation A Case of Multiethnic Mountain Communities,2012,0,0,0,None
46,47,"Blay, D.; Appiah, M.; Damnyag, L.; Dwomoh, F. K.; Luukkanen, O.; Pappinen, A.",Involving local farmers in rehabilitation of degraded tropical forests: some lessons from Ghana,2008,0,0,0,None
47,48,"Bolaane, M.",The Impact of Game Reserve Policy on the River BaSarwa/Bushmen of Botswana,2004,0,0,0,None
789,845,"Bonnardeaux, D.","Linking biodiversity conservation and water, sanitation, and hygiene : experiences from Sub-Saharan Africa",2012,0,0,0,None
48,49,"Bose, P.","Forest tenure Reform: Exclusion of Tribal Women's Rights in Semi-Arid Rajasthan, India",2011,0,0,0,None
49,50,"Boudreaux, K.; Nelson, F.",Community Conservation in Namibia: Empowering the Poor with Property Rights,2011,0,0,0,None
790,846,"Boyd, E.', May, P.;, Chang, M.;Veiga, F.C",Exploring socioeconomic impacts of forest based mitigation projects: Lessons from Brazil and Bolivia,2007,0,0,0,None
50,51,"Bozmoski, A. S.; Hultman, N. E.",Participant perceptions of risk and benefit in carbon forestry: Evidence from Central Tanzania,2010,0,0,0,None
51,52,"Brannlund, R.; Sidibe, A.; Gong, P.",Participation to forest conservation in National Kabore Tambi Park in Southern Burkina Faso,2009,0,0,0,None
792,848,"Brinson, A.A.",Incorporating recreational and artisanal fishing fleets in Atlantic billfish management,2008,0,0,0,None
52,53,"Brown, D. R.; Dettmann, P.; Rinaudo, T.; Tefera, H.; Tofu, A.","Poverty Alleviation and Environmental Restoration Using Clean Development Mechanism: A Case Study from Humbo, Ethiopia",2011,0,0,0,None
53,54,"Brown, H. C. P.","Gender, climate change and REDD+ in the Congo Basin forests of Central Africa",2011,0,0,0,None
54,55,"Brunnschweile, J. M.",The Shark Reef marine Reserve: A marine tourism project in Fiji involving local communities,2009,0,0,0,None
55,56,"Bruyere, B. L.; Beh, A. W.; Lelengula, G.","Differences in Perceptions of Communication, Tourism Benefits, and Management Issues in a Protected Area of Rural Kenya",2009,0,0,0,None
56,57,"Buang, A.; Habibah, A.; Hamzah, J.; Ratnawati, Y. S.",The Promise of Community-based Fishery Resource Management,2011,0,0,0,None
57,58,"Buchenrieder, G.; Balgah, R. A.",Sustaining livelihoods around community forests. What is the potential contribution of wildlife domestication?,2014,0,0,0,None
58,59,"Budhathoki, P.",Linking communities with conservation in developing countries: buffer zone management initiatives In Nepal,2004,0,0,0,None
59,60,"Bullock, A.; King, B.",Evaluating China's Slope Land Conversion Program as sustainable management in Tianquan and Wuqi Counties,2011,0,0,0,None
60,61,"Bunce, M.; Brown, K.; Rosendo, S.","Policy misfits, climate change and cross-scale vulnerability in coastal Africa: how development projects undermine resilience",2010,0,0,0,None
61,62,"Buyinza, M.","Income Distribution Analysis of Collaborative Forest Management Programme in Mt. Elgon National Park, Uganda: Dual Action for Poverty Alleviation and Environment Management",2010,0,0,0,None
62,63,"Buyinza, M.; Acobo, J. T.","Eco-tourism for Environmental Conservation and Community Livelihoods around Budongo Forest in Masindi District, Western Uganda",2009,0,0,0,None
64,65,"Camargo, C.; Maldonado, J. H.; Alvarado, E.; Moreno-Sanchez, R.; Mendoza, S.; Manrique, N.; Mogollon, A.; Osorio, J. D.; Grajales, A.; Sanchez, J. A.",Community involvement in management for maintaining coral reef resilience and biodiversity in southern Caribbean marine protected areas,2009,0,0,0,None
65,66,"Campbell-Smith, G.; Sembiring, R.; Linkie, M.",Evaluating the effectiveness of human-orangutan conflict mitigation strategies in Sumatra,2012,0,0,0,None
66,67,"Campbell, L. M.","Use them or lose them? Conservation and the consumptive use of marine turtle eggs at Ostional, Costa Rica",1998,0,0,0,None
796,852,"Campbell, L. M.; Haalboom, B. J.; Trow, J.",Sustainability of community-based conservation: Sea turtle egg harvesting in Ostional (Costa Rica) ten years later,2007,0,0,0,None
798,854,"Canavire-Bacarreza, G.; Hanauer, M.M.",Estimating the impacts of bolivia's protected areas on poverty,2013,0,0,0,None
67,68,"Cao, S.","Impact of China's large-scale ecological restoration program on the environment and society in arid and semiarid areas of China: Achievements, problems, synthesis, and applications",2011,0,0,0,None
68,69,"Cao, S.; Wang, X.; Song, Y.; Chen, L.; Feng, Q.",Impacts of the Natural Forest Conservation Program on the livelihoods of residents of Northwestern China: Perceptions of residents affected by the program,2010,0,0,0,None
70,71,"Cardozo, M.",Economic displacement and local attitude towards protected area establishment in the Peruvian Amazon,2011,0,0,0,None
799,855,"Carr Kelman, C.",Assessing Integrated Conservation and Development in Indonesia,2010,0,0,0,None
800,856,"Catholic Relief Services,",RANOn'ala: Rural Access to New Opportunities for Health and Water Management. Project Completion Report,2014,0,0,0,None
72,73,"Catsadorakis, G.; Malakou, M.",Conservation and management issues of Prespa National Park,1997,0,0,0,None
801,857,"Cavalcanti, C.; Engel, S.; Leibbrandt, A.","Social integration, participation, and community resource management",2013,0,0,0,None
73,74,"Cerutti, P. O.; Lescuyer, G.; Assembe-Mvondo, S.; Tacconi, L.",The challenges of redistributing forest-related monetary benefits to local governments: A decade of logging area fees in cameroon,2010,0,0,0,None
802,858,"Cesario, M.",Contribution of conservation to sustainable living through health promotion,1996,0,0,0,None
74,75,"Chakrabarti, A.","Transhumance, Livelihood and Sustainable Development and Conflict between Formal institution and Communal Governance: An Evaluative Note on East Himalayan State of Sikkim, India",2011,0,0,0,None
75,76,"Chandapan, D.; Wongchantra, P.; Sali, B.",The production of i-san folk songs to promote the natural resources and environmental conservation,2012,0,0,0,None
77,79,"Chen, H. Y.; Zhu, T.; Krott, M.; Maddox, D.","Community forestry management and livelihood development in northwest China: integration of governance, project design, and community participation",2013,0,0,0,None
78,80,"Chen, H.; Shivakoti, G.; Zhu, T.; Maddox, D.",Livelihood sustainability and community based co-management of forest resources in China: Changes and improvement,2012,0,0,0,None
79,81,"Chhangani, A. K.; Robbins, P.; Mohnot, S. M.","Crop Raiding and Livestock Predation at Kumbhalgarh Wildlife Sanctuary, Rajasthan India",2008,0,0,0,None
803,859,"Chhatre, A. and Agrawal, A.",Forest commons and local enforcement.,2008,0,0,0,None
80,82,"Chhetri, B. B. K.; Larsen, H. O.; Smith-Hall, C.",Law Enforcement in Community Forestry: Consequences for the Poor,2012,0,0,0,None
81,83,"Child, G.",The role of community-based wild resource management in Zimbabwe,1996,0,0,0,None
82,84,"Chowdhury, I. A.; Kamal, M. M.; Haque, N.; Islam, M. N.; Akter, S.",Patterns of co-operation in community based fishery management: A sociological study on the people of Hail Haor,2012,0,0,0,None
83,85,"Chowdhury, M. S. H.; Koike, M.; Rana, P.; Muhammed, N.",Community development through collaborative management of protected areas: Evidence from Bangladesh with a case of Rema-Kalenga Wildlife Sanctuary,2013,0,0,0,None
804,860,"Christie, P.; Oracion, E.G.; Eisma-Osorio, L.",Impacts of the CITES listing of seahorses on the status of the species and on human well-being in the Philippines: a case study. [Available on the Web only],2011,0,0,0,None
805,861,"Chung Tiam Fook, T.A.","Sustaining indigenous lifeways through collaborative and community-led wildlife conservation in the North Rupununi, Guyana",2011,0,0,0,None
85,88,"Clark, C. J.; Poulsen, J. R.; Mavah, G. A.; Moukassa, A.; Nsosso, D.; Kimbembe, K.; Elkan, P. W.",Land-Use Planning in a Co-Management Context: Establishing Access Regulations that Promote Biodiversity Conservation and Support Local Livelihoods,2012,0,0,0,None
87,90,"Clements, T.; John, A.; Nielsen, K.; An, D.; Tan, S.; Milner-Gulland, E. J.",Payments for biodiversity conservation in the context of weak institutions: Comparison of three programs from Cambodia,2010,0,0,0,None
806,862,"Clements, T.; Milner-Gulland, E.J.",The Impacts of Payments for Environmental Services and Protected Areas on Local Livelihoods and Forest Conservation in Northern Cambodia,2015,0,0,0,None
807,863,"Clements, T.; Suon, S.; Wilkie, D.S.; and Milner-Gulland, E.J.",Impacts of Protected Areas on Local Livelihoods in Cambodia,2014,0,0,0,None
88,91,"Collomb, J. G. E.; Mupeta, P.; Barnes, G.; Child, B.",Integrating governance and socioeconomic indicators to assess the performance of community-based natural resources management in Caprivi (Namibia),2010,0,0,0,None
89,92,"Conroy, C.; Mishra, A.; Rai, A.","Learning from self-initiated community forest management in Orissa, India",2002,0,0,0,None
90,93,"Constantino, P. A. L.; Carlos, H. S. A.; Ramalho, E. E.; Rostant, L.; Marinelli, C. E.; Teles, D.; Fonseca-Junior, S. F.; Fernandes, R. B.; Valsecchi, J.",Empowering Local People through Community-based Resource Monitoring: a Comparison of Brazil and Namibia,2012,0,0,0,None
92,95,"Crawford, B.; Herrera, M. D.; Hernandez, N.; Leclair, C. R.; Jiddawi, N.; Masumbuko, S.; Haws, M.",Small Scale Fisheries Management: Lessons from Cockle Harvesters in Nicaragua and Tanzania,2010,0,0,0,None
808,864,"Crona, B.",Integrating local communities into the management of protected areas: lessons from DR Congo and Cameroon,2001,0,0,0,None
93,96,"Cronkleton, P.; Pulhin, J. M.; Saigal, S.",Co-management in community forestry: How the partial devolution of management rights creates challenges for forest communities,2012,0,0,0,None
809,865,"D'Agnes, H.; Castro, J.; D'Agnes, L.; Montebon, R.",Gender issues within the population-environment nexus in Philippines coastal areas,2005,0,0,0,None
819,876,"D'Silva, E.; Nagnath, B.",Behroonguda: a rare success story in joint forest management,2001,0,0,0,None
95,99,"da Silva, P. P.",From common property to co-management: lessons from Brazil's first maritime extractive reserve,2004,0,0,0,None
96,100,"Dahal, S.; Nepal, S. K.; Schuett, M. A.",Examining Marginalized Communities and Local Conservation Institutions: The Case of Nepal's Annapurna Conservation Area,2013,0,0,0,None
97,101,"Dahlberg, A. C.; Burlando, C.","Addressing trade-offs: Experiences from conservation and development initiatives in the Mkuze wetlands, South Africa",2009,0,0,0,None
98,102,"Dahlquist, R. M.; Whelan, M. P.; Winowiecki, L.; Polidoro, B.; Candela, S.; Harvey, C. A.; Wulfhorst, J. D.; McDaniel, P. A.; Bosque-Perez, N. A.","Incorporating livelihoods in biodiversity conservation: a case study of cacao agroforestry systems in Talamanca, Costa Rica",2007,0,0,0,None
99,103,"Dalton, T.; Forrester, G.; Pollnac, R.","Participation, process quality, and performance of marine protected areas in the wider Caribbean",2012,0,0,0,None
100,104,"Danesh Miah, M.; Abubokor Siddik, M.; Yong Shin, M.",Socio-economic and environmental impacts of casuarina shelterbelt in the Chittagong coast of Bangladesh,2013,0,0,0,None
101,105,"Dar, N. I.; Minhas, R. A.; Zaman, Q.; Linkie, M.","Predicting the patterns, perceptions and causes of human-carnivore conflict in and around Machiara National Park, Pakistan",2009,0,0,0,None
810,866,"Das, N.",Incidence of forest income on reduction of inequality: Evidence from forest dependent households in milieu of joint forest management.,2010,0,0,0,None
103,107,"Das, N.; Sarker, D.",Impact of a moral hazard problem in the Joint Forest Management Programme: A study from forest-dependent households in West Bengal,2009,0,0,0,None
811,867,"Dasori, W.P.","Ecosystem health and sustainable livelihoods: Exploring the prospects in community-based resource management in the East Mamprusi District, Ghana",2002,0,0,0,None
812,868,"Davis, A.","Ha! What is the benefit of living next to the park?' Factors limiting in-migration next to Tarangire National Park, Tanzania",2011,0,0,0,None
105,109,"de Albuquerque, C. A.; de Albuquerque, U. P.","Local perceptions towards biological conservation in the community of Vila Velha, Pernambuco, Brazil",2005,0,0,0,None
106,110,"De Boer, W. F.; Baquete, D. S.","Natural resource use, crop damage and attitudes of rural people in the vicinity of the Maputo Elephant Reserve, Mozambique",1998,0,0,0,None
107,111,"De Groote, H.; Ajuonu, O.; Attignon, S.; Djessou, R.; Neuenschwander, P.",Economic impact of biological control of water hyacinth in Southern Benin,2003,0,0,0,None
108,112,"de la Torre, L.; Valencia, R.; Altamirano, C.; Ravnborg, H. M.","Legal and Administrative Regulation of Palms and Other NTFPs in Colombia, Ecuador, Peru and Bolivia",2011,0,0,0,None
109,113,"De Lopez, T. T.","Economics and stakeholders of Ream National Park, Cambodia",2003,0,0,0,None
110,114,"de Silva, T. S.; Freire, E. M. X.",Perception and use of fauna resources in communities surrounding a conservation unit in northeast Brazil,2010,0,0,0,None
111,115,"Debnath, D.; Dasgupta, S.",Livelihoods Generation and Poverty Reduction Attempts in Joint Forest Management Activities in Madhya Pradesh,2006,0,0,0,None
112,116,"Delang, C. O.",Indigenous systems of forest classification: Understanding land use patterns and the role of NTFPs in shifting cultivators' subsistence economies,2006,0,0,0,None
113,117,"Derkyi, M.; Ros-Tonen, M. A. F.; Kyereh, B.; Dietz, T.","Emerging forest regimes and livelihoods in the Tano Offin Forest Reserve, Ghana: Implications for Social Safeguards",2013,0,0,0,None
114,118,"Derman, B.","Environmental NGOs, Dispossession, and the State: The Ideology and Praxis of African Nature and Development",1995,0,0,0,None
813,870,"Deschamps, V.","Biodiversity and social benefits in community-based forest management: The Leuser ecosystem, Indonesia",2001,0,0,0,None
115,119,"Dhakal, M.; Masuda, M.",Local pricing system of forest products and its relations to equitable benefit sharing and livelihood improvement in the lowland community forestry program in Nepal,2009,0,0,0,None
116,120,"Dhanwatey, H. S.; Crawford, J. C.; Abade, L. A. S.; Dhanwatey, P. H.; Nielsen, C. K.; Sillero-Zubiri, C.",Large carnivore attacks on humans in central India: A case study from the Tadoba-Andhari Tiger Reserve,2013,0,0,0,None
816,873,"Diaw, M.C.; Tiani, A.M.",Fences in our heads: A discourse analysis of the Korup resettlement stalemate,2010,0,0,0,None
117,121,"Diegues, A. S.",The role of cultural diversity and communal participation in wetland management in Brazil,1991,0,0,0,None
118,122,"Dikgang, J.; Muchapondwa, E.","The valuation of biodiversity conservation by the South African Khomani San ""bushmen"" community",2012,0,0,0,None
119,123,"Dimech, M.; Darmanin, M.; Philip Smith, I.; Kaiser, M. J.; Schembri, P. J.",Fishers' perception of a 35-year old exclusive Fisheries Management Zone,2009,0,0,0,None
120,124,"Dinh, T. S.; Ogata, K.; Yabe, M.","Contribution of Forest Resources to Local People's Income: A Case Study in Cat Tien Biosphere Reserve, Vietnam",2010,0,0,0,None
121,125,"Dixon, A. B.",Wetland sustainability and the evolution of indigenous knowledge in Ethiopia,2005,0,0,0,None
122,126,"Dixon, A. B.","The resilience and sustainability of local wetland management institutions in Illubabor and Western Wellega, Ethiopia",2008,0,0,0,None
123,127,"Dolins, F. L.; Jolly, A.; Rasamimanana, H.; Ratsimbazafy, J.; Feistner, A. T. C.; Ravoavy, F.",Conservation education in Madagascar: Three case studies in the biologically diverse island-continent,2010,0,0,0,None
126,130,"Dollacker, A.; Rhodes, C.",Integrating crop productivity and biodiversity conservation pilot initiatives developed by Bayer CropScience,2007,0,0,0,None
127,131,"Dollo, M.; Gopi, G. V.; Teegalapalli, K.; Mazumdar, K.","Conservation of the orange-bellied Himalayan squirrel Dremomys lokriah using a traditional knowledge system: A case study from Arunachal Pradesh, India",2010,0,0,0,None
128,132,"Dong, S. K.; Gao, H. W.; Xu, G. C.; Hou, X. Y.; Long, R. J.; Kang, M. Y.; Lassoie, J. P.",Farmer and professional attitudes to the large-scale ban on livestock grazing of grasslands in China,2007,0,0,0,None
129,133,"Dongol, C. M.; Hughey, K. F. D.; Bigsby, H. R.",Capital formation and sustainable community forestry in Nepal,2002,0,0,0,None
130,134,"Donoghue, E. M.; Cubbage, F. W.; Mercer, D. E.",Contract NGOs in community-based forest management in the Philippines,2003,0,0,0,None
131,135,"Dougill, A. J.; Soussan, J. G.; Kiff, E.; Springate-Baginski, O.; Yadav, N. P.; Dev, O. P.; Hurford, A. P.",Impacts of community forestry on farming system sustainability in the middle hills of Nepal,2001,0,0,0,None
132,136,"Dougill, A. J.; Stringer, L. C.; Leventon, J.; Riddell, M.; Rueff, H.; Spracklen, D. V.; Butt, E.",Lessons from community-based payment for ecosystem service schemes: From forests to rangelands,2012,0,0,0,None
133,137,"Dovie, D. B. K.",Detaining Livelihoods and Disputing Biodiversity: Whose Dilemma?,2003,0,0,0,None
135,139,"Dressler, W.","Disentangling Tagbanua lifeways, Swidden and conservation on Palawan Island",2005,0,0,0,None
136,140,"Dressler, W. H.",Co-opting conservation: Migrant resource control and access to national park management in the Philippine uplands,2006,0,0,0,None
137,141,"Dressler, W. H.; Kull, C. A.; Meredith, T. C.",The politics of decentralizing national parks management in the Philippines,2006,0,0,0,None
138,142,"Dressler, W.; B_scher, B.",Market triumphalism and the CBNRM 'crises' at the South African section of the Great Limpopo Transfrontier Park,2008,0,0,0,None
139,143,"Dressler, W.; McDermott, M.; Smith, W.; Pulhin, J.","REDD Policy Impacts on Indigenous Property Rights Regimes on Palawan Island, the Philippines",2012,0,0,0,None
140,144,"Dressler, W.; Roth, R.","The Good, the Bad, and the Contradictory: Neoliberal Conservation Governance in Rural Southeast Asia",2011,0,0,0,None
820,877,"Du, K.","Land tenure change under recent conservation policies in China : a case study in Sichuan province, P.R. China",2003,0,0,0,None
821,878,"Duchelle, A. E.; Kainer, K. A.; Wadt, L. H. O.",Is Certification Associated with Better Forest Management and Socioeconomic Benefits? A Comparative Analysis of Three Certification Schemes Applied to Brazil Nuts in Western Amazonia,2014,0,0,0,None
822,879,"Edmonds, E.V.",Government-initiated community resource management and local resource extraction from NepalՎs forests.,2002,0,0,0,None
141,146,"Eisenberg, A.; Amato, J.; Dengtao,",Kam local indigenous knowledge and sustainable resource management in Guizhou and Guangxi Provinces,2009,0,0,0,None
143,148,"Elias, S.",From communal forests to protected areas: The implications of tenure changes in natural resource management in Guatemala,2012,0,0,0,None
144,149,"Elliott, G.; Mitchell, B.; Wiltshire, B.; Manan, I. A.; Wismer, S.","Community Participation in Marine Protected Area Management: Wakatobi National Park, Sulawesi, Indonesia",2001,0,0,0,None
999,1060,"Emana, B.","Final Evaluation of Pastoralist Food Security Partnership Project, Oromia Regional State, Ethiopia",2005,0,0,0,None
145,150,"Eneji, V. C. O.; Gubo, Q.; Okpiliya, F. I.; Aniah, E. J.; Eni, D. D.; Afangide, D.",Problems of public participation in biodiversity conservation: the Nigerian scenario,2009,0,0,0,None
146,151,"Engel, M. T.; Marchini, S.; Pont, A. C.; Machado, R.; Oliveira, L. R. D.","Perceptions and attitudes of stakeholders towards the wildlife refuge of Ilha dos Lobos, a marine protected area in Brazil",2014,0,0,0,None
147,152,"Er, A. C.; Moorthy, R.; Lyndon, N.; Selvadurai, S.; Chong, S. T.; Adam, J. H.",Perception of local community towards community-based ecotourism,2012,0,0,0,None
148,153,"Espirito-Santo, M. M.; Sevilha, A. C.; Anaya, F. C.; Barbosa, R.; Fernandes, G. W.; Sanchez-Azofeifa, G. A.; Scariot, A.; Noronha, S. E. d; Sampaio, C. A.",Sustainability of tropical dry forests: Two case studies in southeastern and central Brazil,2009,0,0,0,None
149,155,"Evans, K.; Murphy, L.; De Jong, W.",Global versus local narratives of REDD: A case study from Peru's Amazon,2014,0,0,0,None
154,160,"Ezebilo, E. E.; Mattsson, L.","Socio-economic benefits of protected areas as perceived by local people around Cross River National park, Nigeria",2010,0,0,0,None
1033,1102,Fabe & Grote,The economic relevance of sustainable agroforestry practices _ An empirical analysis from Tanzania,2013,0,0,0,None
156,162,"Fanwei, Z.","An evaluation of residents' perceptions of the creation of a geopark: a case study on the geopark in Mt. Huaying Grand Canyon, Sichuan Province, China",2014,0,0,0,None
157,163,"Farley, J.; Batker, D.; De La Torre, I.; Hudspeth, T.",Conserving mangrove ecosystems in the Philippines: Transcending disciplinary and institutional borders,2010,0,0,0,None
158,164,"Farrelly, T. A.","Indigenous and democratic decision-making: issues from community-based ecotourism in the Bouma _ National Heritage Park, Fiji",2011,0,0,0,None
159,165,"Fernandez Jr, P. R.; Matsuda, Y.; Subade, R. F.",Coastal area governance system in the Philippines,2000,0,0,0,None
160,166,"Fernando, P.; Wikramanayake, E.; Weerakoon, D.; Jayasinghe, L. K. A.; Gunawardene, M.; Janaka, H. K.",Perceptions and patterns of human-elephant conflict in old and new settlements in Sri Lanka: Insights for mitigation and management,2005,0,0,0,None
823,880,"Ferraro, P. J.; Hanauer, M. M.",Protecting Ecosystems and Alleviating Poverty with Parks and Reserves: 'Win-Win' or Tradeoffs?,2011,0,0,0,None
824,881,"Ferraro, P.J.; Hanauer, M.M.; Miteva, D.A.; Nelson, J.L.; Pattanayak, S.K.;Nolte, C.; Sims, K.R. E.",Estimating the impacts of conservation on ecosystem services and poverty by integrating modeling and evaluation,2015,0,0,0,None
825,882,"Ferraro, P.J.; Hanauer, M.M.; Sims, K.R.E.",Conditions associated with protected area success in conservation and poverty reduction.,2011,0,0,0,None
